Team,Conf,Year
Charlotte,CUSA,2015
Chattanooga,SC,2015
Chicago St.,WAC,2015
Cincinnati,Amer,2015
Clemson,ACC,2015
Cleveland St.,Horz,2015
Coastal Carolina,BSth,2015
Colgate,Pat,2015
College of Charleston,CAA,2015
Colorado,P12,2015
Colorado St.,MWC,2015
Columbia,Ivy,2015
Connecticut,Amer,2015
Coppin St.,MEAC,2015
Cornell,Ivy,2015
Creighton,BE,2015
Dartmouth,Ivy,2015
Davidson,A10,2015
Dayton,A10,2015
DePaul,BE,2015
Delaware,CAA,2015
Delaware St.,MEAC,2015
Denver,Sum,2015
Detroit,Horz,2015
Drake,MVC,2015
Drexel,CAA,2015
Duke,ACC,2015
Duquesne,A10,2015
East Carolina,Amer,2015
East Tennessee St.,SC,2015
Eastern Illinois,OVC,2015
Eastern Kentucky,OVC,2015
Eastern Michigan,MAC,2015
Eastern Washington,BSky,2015
Elon,CAA,2015
Evansville,MVC,2015
FIU,CUSA,2015
Fairfield,MAAC,2015
Fairleigh Dickinson,NEC,2015
Florida,SEC,2015
Florida A&M,MEAC,2015
Florida Atlantic,CUSA,2015
Florida Gulf Coast,ASun,2015
Florida St.,ACC,2015
Fordham,A10,2015
Fresno St.,MWC,2015
Furman,SC,2015
Gardner Webb,BSth,2015
George Mason,A10,2015
George Washington,A10,2015
Georgetown,BE,2015
Georgia,SEC,2015
Georgia Southern,SB,2015
Georgia St.,SB,2015
Georgia Tech,ACC,2015
Gonzaga,WCC,2015
Grambling St.,SWAC,2015
Grand Canyon,WAC,2015
Green Bay,Horz,2015
Hampton,MEAC,2015
Hartford,AE,2015
Harvard,Ivy,2015
Hawaii,BW,2015
High Point,BSth,2015
Hofstra,CAA,2015
Holy Cross,Pat,2015
Houston,Amer,2015
Houston Baptist,Slnd,2015
Howard,MEAC,2015
IPFW,Sum,2015
IUPUI,Sum,2015
Idaho,BSky,2015
Idaho St.,BSky,2015
Illinois,B10,2015
Illinois Chicago,Horz,2015
Illinois St.,MVC,2015
Incarnate Word,Slnd,2015
Indiana,B10,2015
Indiana St.,MVC,2015
Iona,MAAC,2015
Iowa,B10,2015
Iowa St.,B12,2015
Jackson St.,SWAC,2015
Jacksonville,ASun,2015
Jacksonville St.,OVC,2015
James Madison,CAA,2015
Kansas,B12,2015
Kansas St.,B12,2015
Kennesaw St.,ASun,2015
Kent St.,MAC,2015
Kentucky,SEC,2015
LIU Brooklyn,NEC,2015
LSU,SEC,2015
La Salle,A10,2015
Lafayette,Pat,2015
Lamar,Slnd,2015
Lehigh,Pat,2015
Liberty,BSth,2015
Lipscomb,ASun,2015
Long Beach St.,BW,2015
Longwood,BSth,2015
Louisiana Lafayette,SB,2015
Louisiana Monroe,SB,2015
Louisiana Tech,CUSA,2015
Louisville,ACC,2015
Loyola Chicago,MVC,2015
Loyola MD,Pat,2015
Loyola Marymount,WCC,2015
Maine,AE,2015
Manhattan,MAAC,2015
Marist,MAAC,2015
Marquette,BE,2015
Marshall,CUSA,2015
Maryland,B10,2015
Maryland Eastern Shore,MEAC,2015
Massachusetts,A10,2015
McNeese St.,Slnd,2015
Memphis,Amer,2015
Mercer,SC,2015
Miami FL,ACC,2015
Miami OH,MAC,2015
Michigan,B10,2015
Michigan St.,B10,2015
Middle Tennessee,CUSA,2015
Milwaukee,Horz,2015
Minnesota,B10,2015
Mississippi,SEC,2015
Mississippi St.,SEC,2015
Mississippi Valley St.,SWAC,2015
Missouri,SEC,2015
Missouri St.,MVC,2015
Monmouth,MAAC,2015
Montana,BSky,2015
Montana St.,BSky,2015
Morehead St.,OVC,2015
Morgan St.,MEAC,2015
Mount St. Mary's,NEC,2015
Murray St.,OVC,2015
N.C. State,ACC,2015
NJIT,ind,2015
Navy,Pat,2015
Nebraska,B10,2015
Nebraska Omaha,Sum,2015
Nevada,MWC,2015
New Hampshire,AE,2015
New Mexico,MWC,2015
New Mexico St.,WAC,2015
New Orleans,Slnd,2015
Niagara,MAAC,2015
Nicholls St.,Slnd,2015
Norfolk St.,MEAC,2015
North Carolina,ACC,2015
North Carolina A&T,MEAC,2015
North Carolina Central,MEAC,2015
North Dakota,BSky,2015
North Dakota St.,Sum,2015
North Florida,ASun,2015
North Texas,CUSA,2015
Northeastern,CAA,2015
Northern Arizona,BSky,2015
Northern Colorado,BSky,2015
Northern Illinois,MAC,2015
Northern Iowa,MVC,2015
Northern Kentucky,ASun,2015
Northwestern,B10,2015
Northwestern St.,Slnd,2015
Notre Dame,ACC,2015
Oakland,Horz,2015
Ohio,MAC,2015
Ohio St.,B10,2015
Oklahoma,B12,2015
Oklahoma St.,B12,2015
Old Dominion,CUSA,2015
Oral Roberts,Sum,2015
Oregon,P12,2015
Oregon St.,P12,2015
Pacific,WCC,2015
Penn,Ivy,2015
Penn St.,B10,2015
Pepperdine,WCC,2015
Pittsburgh,ACC,2015
Portland,WCC,2015
Portland St.,BSky,2015
Prairie View A&M,SWAC,2015
Presbyterian,BSth,2015
Princeton,Ivy,2015
Providence,BE,2015
Purdue,B10,2015
Quinnipiac,MAAC,2015
Radford,BSth,2015
Rhode Island,A10,2015
Rice,CUSA,2015
Richmond,A10,2015
Rider,MAAC,2015
Robert Morris,NEC,2015
Rutgers,B10,2015
SIU Edwardsville,OVC,2015
SMU,Amer,2015
Sacramento St.,BSky,2015
Sacred Heart,NEC,2015
Saint Joseph's,A10,2015
Saint Louis,A10,2015
Saint Mary's,WCC,2015
Saint Peter's,MAAC,2015
Sam Houston St.,Slnd,2015
Samford,SC,2015
San Diego,WCC,2015
San Diego St.,MWC,2015
San Francisco,WCC,2015
San Jose St.,MWC,2015
Santa Clara,WCC,2015
Savannah St.,MEAC,2015
Seattle,WAC,2015
Seton Hall,BE,2015
Siena,MAAC,2015
South Alabama,SB,2015
South Carolina,SEC,2015
South Carolina St.,MEAC,2015
South Dakota,Sum,2015
South Dakota St.,Sum,2015
South Florida,Amer,2015
Southeast Missouri St.,OVC,2015
Southeastern Louisiana,Slnd,2015
Southern,SWAC,2015
Southern Illinois,MVC,2015
Southern Miss,CUSA,2015
Southern Utah,BSky,2015
St. Bonaventure,A10,2015
St. Francis NY,NEC,2015
St. Francis PA,NEC,2015
St. John's,BE,2015
Stanford,P12,2015
Stephen F. Austin,Slnd,2015
Stetson,ASun,2015
Stony Brook,AE,2015
Syracuse,ACC,2015
TCU,B12,2015
Temple,Amer,2015
Tennessee,SEC,2015
Tennessee Martin,OVC,2015
Tennessee St.,OVC,2015
Tennessee Tech,OVC,2015
Texas,B12,2015
Texas A&M,SEC,2015
Texas A&M Corpus Chris,Slnd,2015
Texas Pan American,WAC,2015
Texas Southern,SWAC,2015
Texas St.,SB,2015
Texas Tech,B12,2015
The Citadel,SC,2015
Toledo,MAC,2015
Towson,CAA,2015
Troy,SB,2015
Tulane,Amer,2015
Tulsa,Amer,2015
UAB,CUSA,2015
UC Davis,BW,2015
UC Irvine,BW,2015
UC Riverside,BW,2015
UC Santa Barbara,BW,2015
UCF,Amer,2015
UCLA,P12,2015
UMBC,AE,2015
UMKC,WAC,2015
UMass Lowell,AE,2015
UNC Asheville,BSth,2015
UNC Greensboro,SC,2015
UNC Wilmington,CAA,2015
UNLV,MWC,2015
USC,P12,2015
USC Upstate,ASun,2015
UT Arlington,SB,2015
UTEP,CUSA,2015
UTSA,CUSA,2015
Utah,P12,2015
Utah St.,MWC,2015
Utah Valley,WAC,2015
VCU,A10,2015
VMI,SC,2015
Valparaiso,Horz,2015
Vanderbilt,SEC,2015
Vermont,AE,2015
Villanova,BE,2015
Virginia,ACC,2015
Virginia Tech,ACC,2015
Wagner,NEC,2015
Wake Forest,ACC,2015
Washington,P12,2015
Washington St.,P12,2015
Weber St.,BSky,2015
West Virginia,B12,2015
Western Carolina,SC,2015
Western Illinois,Sum,2015
Western Kentucky,CUSA,2015
Western Michigan,MAC,2015
Wichita St.,MVC,2015
William & Mary,CAA,2015
Winthrop,BSth,2015
Wisconsin,B10,2015
Wofford,SC,2015
Wright St.,Horz,2015
Wyoming,MWC,2015
Xavier,BE,2015
Yale,Ivy,2015
Youngstown St.,Horz,2015
Abilene Christian,Slnd,2014
Air Force,MWC,2014
Akron,MAC,2014
Alabama,SEC,2014
Alabama A&M,SWAC,2014
Alabama St.,SWAC,2014
Albany,AE,2014
Alcorn St.,SWAC,2014
American,Pat,2014
Appalachian St.,SC,2014
Arizona,P12,2014
Arizona St.,P12,2014
Arkansas,SEC,2014
Arkansas Little Rock,SB,2014
Arkansas Pine Bluff,SWAC,2014
Arkansas St.,SB,2014
Army,Pat,2014
Auburn,SEC,2014
Austin Peay,OVC,2014
BYU,WCC,2014
Ball St.,MAC,2014
Baylor,B12,2014
Belmont,OVC,2014
Bethune Cookman,MEAC,2014
Binghamton,AE,2014
Boise St.,MWC,2014
Boston College,ACC,2014
Boston University,Pat,2014
Bowling Green,MAC,2014
Bradley,MVC,2014
Brown,Ivy,2014
Bryant,NEC,2014
Bucknell,Pat,2014
Buffalo,MAC,2014
Butler,BE,2014
Cal Poly,BW,2014
Cal St. Bakersfield,WAC,2014
Cal St. Fullerton,BW,2014
Cal St. Northridge,BW,2014
California,P12,2014
Campbell,BSth,2014
Canisius,MAAC,2014
Central Arkansas,Slnd,2014
Central Connecticut,NEC,2014
Central Michigan,MAC,2014
Charleston Southern,BSth,2014
Charlotte,CUSA,2014
Chattanooga,SC,2014
Chicago St.,WAC,2014
Cincinnati,Amer,2014
Clemson,ACC,2014
Cleveland St.,Horz,2014
Coastal Carolina,BSth,2014
Colgate,Pat,2014
College of Charleston,CAA,2014
Colorado,P12,2014
Colorado St.,MWC,2014
Columbia,Ivy,2014
Connecticut,Amer,2014
Coppin St.,MEAC,2014
Cornell,Ivy,2014
Creighton,BE,2014
Dartmouth,Ivy,2014
Davidson,SC,2014
Dayton,A10,2014
DePaul,BE,2014
Delaware,CAA,2014
Delaware St.,MEAC,2014
Denver,Sum,2014
Detroit,Horz,2014
Drake,MVC,2014
Drexel,CAA,2014
Duke,ACC,2014
Duquesne,A10,2014
East Carolina,CUSA,2014
East Tennessee St.,ASun,2014
Eastern Illinois,OVC,2014
Eastern Kentucky,OVC,2014
Eastern Michigan,MAC,2014
Eastern Washington,BSky,2014
Elon,SC,2014
Evansville,MVC,2014
FIU,CUSA,2014
Fairfield,MAAC,2014
Fairleigh Dickinson,NEC,2014
Florida,SEC,2014
Florida A&M,MEAC,2014
Florida Atlantic,CUSA,2014
Florida Gulf Coast,ASun,2014
Florida St.,ACC,2014
Fordham,A10,2014
Fresno St.,MWC,2014
Furman,SC,2014
Gardner Webb,BSth,2014
George Mason,A10,2014
George Washington,A10,2014
Georgetown,BE,2014
Georgia,SEC,2014
Georgia Southern,SC,2014
Georgia St.,SB,2014
Georgia Tech,ACC,2014
Gonzaga,WCC,2014
Grambling St.,SWAC,2014
Grand Canyon,WAC,2014
Green Bay,Horz,2014
Hampton,MEAC,2014
Hartford,AE,2014
Harvard,Ivy,2014
Hawaii,BW,2014
High Point,BSth,2014
Hofstra,CAA,2014
Holy Cross,Pat,2014
Houston,Amer,2014
Houston Baptist,Slnd,2014
Howard,MEAC,2014
IPFW,Sum,2014
IUPUI,Sum,2014
Idaho,WAC,2014
Idaho St.,BSky,2014
Illinois,B10,2014
Illinois Chicago,Horz,2014
Illinois St.,MVC,2014
Incarnate Word,Slnd,2014
Indiana,B10,2014
Indiana St.,MVC,2014
Iona,MAAC,2014
Iowa,B10,2014
Iowa St.,B12,2014
Jackson St.,SWAC,2014
Jacksonville,ASun,2014
Jacksonville St.,OVC,2014
James Madison,CAA,2014
Kansas,B12,2014
Kansas St.,B12,2014
Kennesaw St.,ASun,2014
Kent St.,MAC,2014
Kentucky,SEC,2014
LIU Brooklyn,NEC,2014
LSU,SEC,2014
La Salle,A10,2014
Lafayette,Pat,2014
Lamar,Slnd,2014
Lehigh,Pat,2014
Liberty,BSth,2014
Lipscomb,ASun,2014
Long Beach St.,BW,2014
Longwood,BSth,2014
Louisiana Lafayette,SB,2014
Louisiana Monroe,SB,2014
Louisiana Tech,CUSA,2014
Louisville,Amer,2014
Loyola Chicago,MVC,2014
Loyola MD,Pat,2014
Loyola Marymount,WCC,2014
Maine,AE,2014
Manhattan,MAAC,2014
Marist,MAAC,2014
Marquette,BE,2014
Marshall,CUSA,2014
Maryland,ACC,2014
Maryland Eastern Shore,MEAC,2014
Massachusetts,A10,2014
McNeese St.,Slnd,2014
Memphis,Amer,2014
Mercer,ASun,2014
Miami FL,ACC,2014
Miami OH,MAC,2014
Michigan,B10,2014
Michigan St.,B10,2014
Middle Tennessee,CUSA,2014
Milwaukee,Horz,2014
Minnesota,B10,2014
Mississippi,SEC,2014
Mississippi St.,SEC,2014
Mississippi Valley St.,SWAC,2014
Missouri,SEC,2014
Missouri St.,MVC,2014
Monmouth,MAAC,2014
Montana,BSky,2014
Montana St.,BSky,2014
Morehead St.,OVC,2014
Morgan St.,MEAC,2014
Mount St. Mary's,NEC,2014
Murray St.,OVC,2014
N.C. State,ACC,2014
NJIT,ind,2014
Navy,Pat,2014
Nebraska,B10,2014
Nebraska Omaha,Sum,2014
Nevada,MWC,2014
New Hampshire,AE,2014
New Mexico,MWC,2014
New Mexico St.,WAC,2014
New Orleans,Slnd,2014
Niagara,MAAC,2014
Nicholls St.,Slnd,2014
Norfolk St.,MEAC,2014
North Carolina,ACC,2014
North Carolina A&T,MEAC,2014
North Carolina Central,MEAC,2014
North Dakota,BSky,2014
North Dakota St.,Sum,2014
North Florida,ASun,2014
North Texas,CUSA,2014
Northeastern,CAA,2014
Northern Arizona,BSky,2014
Northern Colorado,BSky,2014
Northern Illinois,MAC,2014
Northern Iowa,MVC,2014
Northern Kentucky,ASun,2014
Northwestern,B10,2014
Northwestern St.,Slnd,2014
Notre Dame,ACC,2014
Oakland,Horz,2014
Ohio,MAC,2014
Ohio St.,B10,2014
Oklahoma,B12,2014
Oklahoma St.,B12,2014
Old Dominion,CUSA,2014
Oral Roberts,Slnd,2014
Oregon,P12,2014
Oregon St.,P12,2014
Pacific,WCC,2014
Penn,Ivy,2014
Penn St.,B10,2014
Pepperdine,WCC,2014
Pittsburgh,ACC,2014
Portland,WCC,2014
Portland St.,BSky,2014
Prairie View A&M,SWAC,2014
Presbyterian,BSth,2014
Princeton,Ivy,2014
Providence,BE,2014
Purdue,B10,2014
Quinnipiac,MAAC,2014
Radford,BSth,2014
Rhode Island,A10,2014
Rice,CUSA,2014
Richmond,A10,2014
Rider,MAAC,2014
Robert Morris,NEC,2014
Rutgers,Amer,2014
SIU Edwardsville,OVC,2014
SMU,Amer,2014
Sacramento St.,BSky,2014
Sacred Heart,NEC,2014
Saint Joseph's,A10,2014
Saint Louis,A10,2014
Saint Mary's,WCC,2014
Saint Peter's,MAAC,2014
Sam Houston St.,Slnd,2014
Samford,SC,2014
San Diego,WCC,2014
San Diego St.,MWC,2014
San Francisco,WCC,2014
San Jose St.,MWC,2014
Santa Clara,WCC,2014
Savannah St.,MEAC,2014
Seattle,WAC,2014
Seton Hall,BE,2014
Siena,MAAC,2014
South Alabama,SB,2014
South Carolina,SEC,2014
South Carolina St.,MEAC,2014
South Dakota,Sum,2014
South Dakota St.,Sum,2014
South Florida,Amer,2014
Southeast Missouri St.,OVC,2014
Southeastern Louisiana,Slnd,2014
Southern,SWAC,2014
Southern Illinois,MVC,2014
Southern Miss,CUSA,2014
Southern Utah,BSky,2014
St. Bonaventure,A10,2014
St. Francis NY,NEC,2014
St. Francis PA,NEC,2014
St. John's,BE,2014
Stanford,P12,2014
Stephen F. Austin,Slnd,2014
Stetson,ASun,2014
Stony Brook,AE,2014
Syracuse,ACC,2014
TCU,B12,2014
Temple,Amer,2014
Tennessee,SEC,2014
Tennessee Martin,OVC,2014
Tennessee St.,OVC,2014
Tennessee Tech,OVC,2014
Texas,B12,2014
Texas A&M,SEC,2014
Texas A&M Corpus Chris,Slnd,2014
Texas Pan American,WAC,2014
Texas Southern,SWAC,2014
Texas St.,SB,2014
Texas Tech,B12,2014
The Citadel,SC,2014
Toledo,MAC,2014
Towson,CAA,2014
Troy,SB,2014
Tulane,CUSA,2014
Tulsa,CUSA,2014
UAB,CUSA,2014
UC Davis,BW,2014
UC Irvine,BW,2014
UC Riverside,BW,2014
UC Santa Barbara,BW,2014
UCF,Amer,2014
UCLA,P12,2014
UMBC,AE,2014
UMKC,WAC,2014
UMass Lowell,AE,2014
UNC Asheville,BSth,2014
UNC Greensboro,SC,2014
UNC Wilmington,CAA,2014
UNLV,MWC,2014
USC,P12,2014
USC Upstate,ASun,2014
UT Arlington,SB,2014
UTEP,CUSA,2014
UTSA,CUSA,2014
Utah,P12,2014
Utah St.,MWC,2014
Utah Valley,WAC,2014
VCU,A10,2014
VMI,BSth,2014
Valparaiso,Horz,2014
Vanderbilt,SEC,2014
Vermont,AE,2014
Villanova,BE,2014
Virginia,ACC,2014
Virginia Tech,ACC,2014
Wagner,NEC,2014
Wake Forest,ACC,2014
Washington,P12,2014
Washington St.,P12,2014
Weber St.,BSky,2014
West Virginia,B12,2014
Western Carolina,SC,2014
Western Illinois,Sum,2014
Western Kentucky,SB,2014
Western Michigan,MAC,2014
Wichita St.,MVC,2014
William & Mary,CAA,2014
Winthrop,BSth,2014
Wisconsin,B10,2014
Wofford,SC,2014
Wright St.,Horz,2014
Wyoming,MWC,2014
Xavier,BE,2014
Yale,Ivy,2014
Youngstown St.,Horz,2014
Air Force,MWC,2013
Akron,MAC,2013
Alabama,SEC,2013
Alabama A&M,SWAC,2013
Alabama St.,SWAC,2013
Albany,AE,2013
Alcorn St.,SWAC,2013
American,Pat,2013
Appalachian St.,SC,2013
Arizona,P12,2013
Arizona St.,P12,2013
Arkansas,SEC,2013
Arkansas Little Rock,SB,2013
Arkansas Pine Bluff,SWAC,2013
Arkansas St.,SB,2013
Army,Pat,2013
Auburn,SEC,2013
Austin Peay,OVC,2013
BYU,WCC,2013
Ball St.,MAC,2013
Baylor,B12,2013
Belmont,OVC,2013
Bethune Cookman,MEAC,2013
Binghamton,AE,2013
Boise St.,MWC,2013
Boston College,ACC,2013
Boston University,AE,2013
Bowling Green,MAC,2013
Bradley,MVC,2013
Brown,Ivy,2013
Bryant,NEC,2013
Bucknell,Pat,2013
Buffalo,MAC,2013
Butler,A10,2013
Cal Poly,BW,2013
Cal St. Bakersfield,ind,2013
Cal St. Fullerton,BW,2013
Cal St. Northridge,BW,2013
California,P12,2013
Campbell,BSth,2013
Canisius,MAAC,2013
Central Arkansas,Slnd,2013
Central Connecticut,NEC,2013
Central Michigan,MAC,2013
Charleston Southern,BSth,2013
Charlotte,A10,2013
Chattanooga,SC,2013
Chicago St.,GWC,2013
Cincinnati,BE,2013
Clemson,ACC,2013
Cleveland St.,Horz,2013
Coastal Carolina,BSth,2013
Colgate,Pat,2013
College of Charleston,SC,2013
Colorado,P12,2013
Colorado St.,MWC,2013
Columbia,Ivy,2013
Connecticut,BE,2013
Coppin St.,MEAC,2013
Cornell,Ivy,2013
Creighton,MVC,2013
Dartmouth,Ivy,2013
Davidson,SC,2013
Dayton,A10,2013
DePaul,BE,2013
Delaware,CAA,2013
Delaware St.,MEAC,2013
Denver,WAC,2013
Detroit,Horz,2013
Drake,MVC,2013
Drexel,CAA,2013
Duke,ACC,2013
Duquesne,A10,2013
East Carolina,CUSA,2013
East Tennessee St.,ASun,2013
Eastern Illinois,OVC,2013
Eastern Kentucky,OVC,2013
Eastern Michigan,MAC,2013
Eastern Washington,BSky,2013
Elon,SC,2013
Evansville,MVC,2013
FIU,SB,2013
Fairfield,MAAC,2013
Fairleigh Dickinson,NEC,2013
Florida,SEC,2013
Florida A&M,MEAC,2013
Florida Atlantic,SB,2013
Florida Gulf Coast,ASun,2013
Florida St.,ACC,2013
Fordham,A10,2013
Fresno St.,MWC,2013
Furman,SC,2013
Gardner Webb,BSth,2013
George Mason,CAA,2013
George Washington,A10,2013
Georgetown,BE,2013
Georgia,SEC,2013
Georgia Southern,SC,2013
Georgia St.,CAA,2013
Georgia Tech,ACC,2013
Gonzaga,WCC,2013
Grambling St.,SWAC,2013
Green Bay,Horz,2013
Hampton,MEAC,2013
Hartford,AE,2013
Harvard,Ivy,2013
Hawaii,BW,2013
High Point,BSth,2013
Hofstra,CAA,2013
Holy Cross,Pat,2013
Houston,CUSA,2013
Houston Baptist,GWC,2013
Howard,MEAC,2013
IPFW,Sum,2013
IUPUI,Sum,2013
Idaho,WAC,2013
Idaho St.,BSky,2013
Illinois,B10,2013
Illinois Chicago,Horz,2013
Illinois St.,MVC,2013
Indiana,B10,2013
Indiana St.,MVC,2013
Iona,MAAC,2013
Iowa,B10,2013
Iowa St.,B12,2013
Jackson St.,SWAC,2013
Jacksonville,ASun,2013
Jacksonville St.,OVC,2013
James Madison,CAA,2013
Kansas,B12,2013
Kansas St.,B12,2013
Kennesaw St.,ASun,2013
Kent St.,MAC,2013
Kentucky,SEC,2013
LIU Brooklyn,NEC,2013
LSU,SEC,2013
La Salle,A10,2013
Lafayette,Pat,2013
Lamar,Slnd,2013
Lehigh,Pat,2013
Liberty,BSth,2013
Lipscomb,ASun,2013
Long Beach St.,BW,2013
Longwood,BSth,2013
Louisiana Lafayette,SB,2013
Louisiana Monroe,SB,2013
Louisiana Tech,WAC,2013
Louisville,BE,2013
Loyola Chicago,Horz,2013
Loyola MD,MAAC,2013
Loyola Marymount,WCC,2013
Maine,AE,2013
Manhattan,MAAC,2013
Marist,MAAC,2013
Marquette,BE,2013
Marshall,CUSA,2013
Maryland,ACC,2013
Maryland Eastern Shore,MEAC,2013
Massachusetts,A10,2013
McNeese St.,Slnd,2013
Memphis,CUSA,2013
Mercer,ASun,2013
Miami FL,ACC,2013
Miami OH,MAC,2013
Michigan,B10,2013
Michigan St.,B10,2013
Middle Tennessee,SB,2013
Milwaukee,Horz,2013
Minnesota,B10,2013
Mississippi,SEC,2013
Mississippi St.,SEC,2013
Mississippi Valley St.,SWAC,2013
Missouri,SEC,2013
Missouri St.,MVC,2013
Monmouth,NEC,2013
Montana,BSky,2013
Montana St.,BSky,2013
Morehead St.,OVC,2013
Morgan St.,MEAC,2013
Mount St. Mary's,NEC,2013
Murray St.,OVC,2013
N.C. State,ACC,2013
NJIT,GWC,2013
Navy,Pat,2013
Nebraska,B10,2013
Nebraska Omaha,Sum,2013
Nevada,MWC,2013
New Hampshire,AE,2013
New Mexico,MWC,2013
New Mexico St.,WAC,2013
New Orleans,ind,2013
Niagara,MAAC,2013
Nicholls St.,Slnd,2013
Norfolk St.,MEAC,2013
North Carolina,ACC,2013
North Carolina A&T,MEAC,2013
North Carolina Central,MEAC,2013
North Dakota,BSky,2013
North Dakota St.,Sum,2013
North Florida,ASun,2013
North Texas,SB,2013
Northeastern,CAA,2013
Northern Arizona,BSky,2013
Northern Colorado,BSky,2013
Northern Illinois,MAC,2013
Northern Iowa,MVC,2013
Northern Kentucky,ASun,2013
Northwestern,B10,2013
Northwestern St.,Slnd,2013
Notre Dame,BE,2013
Oakland,Sum,2013
Ohio,MAC,2013
Ohio St.,B10,2013
Oklahoma,B12,2013
Oklahoma St.,B12,2013
Old Dominion,CAA,2013
Oral Roberts,Slnd,2013
Oregon,P12,2013
Oregon St.,P12,2013
Pacific,BW,2013
Penn,Ivy,2013
Penn St.,B10,2013
Pepperdine,WCC,2013
Pittsburgh,BE,2013
Portland,WCC,2013
Portland St.,BSky,2013
Prairie View A&M,SWAC,2013
Presbyterian,BSth,2013
Princeton,Ivy,2013
Providence,BE,2013
Purdue,B10,2013
Quinnipiac,NEC,2013
Radford,BSth,2013
Rhode Island,A10,2013
Rice,CUSA,2013
Richmond,A10,2013
Rider,MAAC,2013
Robert Morris,NEC,2013
Rutgers,BE,2013
SIU Edwardsville,OVC,2013
SMU,CUSA,2013
Sacramento St.,BSky,2013
Sacred Heart,NEC,2013
Saint Joseph's,A10,2013
Saint Louis,A10,2013
Saint Mary's,WCC,2013
Saint Peter's,MAAC,2013
Sam Houston St.,Slnd,2013
Samford,SC,2013
San Diego,WCC,2013
San Diego St.,MWC,2013
San Francisco,WCC,2013
San Jose St.,WAC,2013
Santa Clara,WCC,2013
Savannah St.,MEAC,2013
Seattle,WAC,2013
Seton Hall,BE,2013
Siena,MAAC,2013
South Alabama,SB,2013
South Carolina,SEC,2013
South Carolina St.,MEAC,2013
South Dakota,Sum,2013
South Dakota St.,Sum,2013
South Florida,BE,2013
Southeast Missouri St.,OVC,2013
Southeastern Louisiana,Slnd,2013
Southern,SWAC,2013
Southern Illinois,MVC,2013
Southern Miss,CUSA,2013
Southern Utah,BSky,2013
St. Bonaventure,A10,2013
St. Francis NY,NEC,2013
St. Francis PA,NEC,2013
St. John's,BE,2013
Stanford,P12,2013
Stephen F. Austin,Slnd,2013
Stetson,ASun,2013
Stony Brook,AE,2013
Syracuse,BE,2013
TCU,B12,2013
Temple,A10,2013
Tennessee,SEC,2013
Tennessee Martin,OVC,2013
Tennessee St.,OVC,2013
Tennessee Tech,OVC,2013
Texas,B12,2013
Texas A&M,SEC,2013
Texas A&M Corpus Chris,Slnd,2013
Texas Pan American,GWC,2013
Texas Southern,SWAC,2013
Texas St.,WAC,2013
Texas Tech,B12,2013
The Citadel,SC,2013
Toledo,MAC,2013
Towson,CAA,2013
Troy,SB,2013
Tulane,CUSA,2013
Tulsa,CUSA,2013
UAB,CUSA,2013
UC Davis,BW,2013
UC Irvine,BW,2013
UC Riverside,BW,2013
UC Santa Barbara,BW,2013
UCF,CUSA,2013
UCLA,P12,2013
UMBC,AE,2013
UMKC,Sum,2013
UNC Asheville,BSth,2013
UNC Greensboro,SC,2013
UNC Wilmington,CAA,2013
UNLV,MWC,2013
USC,P12,2013
USC Upstate,ASun,2013
UT Arlington,WAC,2013
UTEP,CUSA,2013
UTSA,WAC,2013
Utah,P12,2013
Utah St.,WAC,2013
Utah Valley,GWC,2013
VCU,A10,2013
VMI,BSth,2013
Valparaiso,Horz,2013
Vanderbilt,SEC,2013
Vermont,AE,2013
Villanova,BE,2013
Virginia,ACC,2013
Virginia Tech,ACC,2013
Wagner,NEC,2013
Wake Forest,ACC,2013
Washington,P12,2013
Washington St.,P12,2013
Weber St.,BSky,2013
West Virginia,B12,2013
Western Carolina,SC,2013
Western Illinois,Sum,2013
Western Kentucky,SB,2013
Western Michigan,MAC,2013
Wichita St.,MVC,2013
William & Mary,CAA,2013
Winthrop,BSth,2013
Wisconsin,B10,2013
Wofford,SC,2013
Wright St.,Horz,2013
Wyoming,MWC,2013
Xavier,A10,2013
Yale,Ivy,2013
Youngstown St.,Horz,2013
Air Force,MWC,2012
Akron,MAC,2012
Alabama,SEC,2012
Alabama A&M,SWAC,2012
Alabama St.,SWAC,2012
Albany,AE,2012
Alcorn St.,SWAC,2012
American,Pat,2012
Appalachian St.,SC,2012
Arizona,P12,2012
Arizona St.,P12,2012
Arkansas,SEC,2012
Arkansas Little Rock,SB,2012
Arkansas Pine Bluff,SWAC,2012
Arkansas St.,SB,2012
Army,Pat,2012
Auburn,SEC,2012
Austin Peay,OVC,2012
BYU,WCC,2012
Ball St.,MAC,2012
Baylor,B12,2012
Belmont,ASun,2012
Bethune Cookman,MEAC,2012
Binghamton,AE,2012
Boise St.,MWC,2012
Boston College,ACC,2012
Boston University,AE,2012
Bowling Green,MAC,2012
Bradley,MVC,2012
Brown,Ivy,2012
Bryant,NEC,2012
Bucknell,Pat,2012
Buffalo,MAC,2012
Butler,Horz,2012
Cal Poly,BW,2012
Cal St. Bakersfield,ind,2012
Cal St. Fullerton,BW,2012
Cal St. Northridge,BW,2012
California,P12,2012
Campbell,BSth,2012
Canisius,MAAC,2012
Central Arkansas,Slnd,2012
Central Connecticut,NEC,2012
Central Michigan,MAC,2012
Charleston Southern,BSth,2012
