team_id,location,display_name,short_name,mascot,nickname,abbreviation,conference_id,conference_name
103,Boston College,Boston College Eagles,Boston College,Eagles,Boston College,BC,2,Atlantic Coast Conference
104,Boston University,Boston University Terriers,Boston U,Terriers,Boston U,BU,22,Patriot League
107,Holy Cross,Holy Cross Crusaders,Holy Cross,Crusaders,Holy Cross,HC,22,Patriot League
108,Harvard,Harvard Crimson,Harvard,Crimson,Harvard,HARV,12,Ivy League
111,Northeastern,Northeastern Huskies,Northeastern,Huskies,Northeastern,NE,10,Colonial Athletic Association
112358,Long Island University,Long Island University Sharks,Long Island,Sharks,Long Island,LIU,19,Northeast Conference
113,Massachusetts,Massachusetts Minutemen,UMass,Minutemen,UMass,MASS,3,Atlantic 10 Conference
116,Mount St. Mary's,Mount St. Mary's Mountaineers,Mount St Marys,Mountaineers,Mount St Marys,MSM,13,Metro Atlantic Athletic Conference
119,Towson,Towson Tigers,Towson,Tigers,Towson,TOW,10,Colonial Athletic Association
12,Arizona,Arizona Wildcats,Arizona,Wildcats,Arizona,ARIZ,21,Pac-12 Conference
120,Maryland,Maryland Terrapins,Maryland,Terrapins,Maryland,MD,7,Big Ten Conference
127,Michigan State,Michigan State Spartans,Michigan St,Spartans,Michigan St,MSU,7,Big Ten Conference
13,Cal Poly,Cal Poly Mustangs,Cal Poly,Mustangs,Cal Poly,CP,9,Big West Conference
130,Michigan,Michigan Wolverines,Michigan,Wolverines,Michigan,MICH,7,Big Ten Conference
135,Minnesota,Minnesota Golden Gophers,Minnesota,Golden Gophers,Minnesota,MINN,7,Big Ten Conference
139,Saint Louis,Saint Louis Billikens,Saint Louis,Billikens,Saint Louis,SLU,3,Atlantic 10 Conference
140,Kansas City,Kansas City Roos,Kansas City,Roos,Kansas City,KC,49,Summit League
142,Missouri,Missouri Tigers,Missouri,Tigers,Missouri,MIZ,23,Southeastern Conference
145,Ole Miss,Ole Miss Rebels,Ole Miss,Rebels,Ole Miss,MISS,23,Southeastern Conference
147,Montana State,Montana State Bobcats,Montana St,Bobcats,Montana St,MTST,5,Big Sky Conference
149,Montana,Montana Grizzlies,Montana,Grizzlies,Montana,MONT,5,Big Sky Conference
150,Duke,Duke Blue Devils,Duke,Blue Devils,Duke,DUKE,2,Atlantic Coast Conference
151,East Carolina,East Carolina Pirates,East Carolina,Pirates,East Carolina,ECU,62,American Athletic Conference
152,NC State,NC State Wolfpack,NC State,Wolfpack,NC State,NCSU,2,Atlantic Coast Conference
153,North Carolina,North Carolina Tar Heels,North Carolina,Tar Heels,North Carolina,UNC,2,Atlantic Coast Conference
154,Wake Forest,Wake Forest Demon Deacons,Wake Forest,Demon Deacons,Wake Forest,WAKE,2,Atlantic Coast Conference
155,North Dakota,North Dakota Fighting Hawks,North Dakota,Fighting Hawks,North Dakota,UND,49,Summit League
156,Creighton,Creighton Bluejays,Creighton,Bluejays,Creighton,CREI,4,Big East Conference
158,Nebraska,Nebraska Cornhuskers,Nebraska,Cornhuskers,Nebraska,NEB,7,Big Ten Conference
159,Dartmouth,Dartmouth Big Green,Dartmouth,Big Green,Dartmouth,DART,12,Ivy League
16,Sacramento State,Sacramento State Hornets,Sacramento St,Hornets,Sacramento St,SAC,5,Big Sky Conference
160,New Hampshire,New Hampshire Wildcats,New Hampshire,Wildcats,New Hampshire,UNH,1,America East Conference
161,Fairleigh Dickinson,Fairleigh Dickinson Knights,FDU,Knights,FDU,FDU,19,Northeast Conference
163,Princeton,Princeton Tigers,Princeton,Tigers,Princeton,PRIN,12,Ivy League
164,Rutgers,Rutgers Scarlet Knights,Rutgers,Scarlet Knights,Rutgers,RUTG,7,Big Ten Conference
166,New Mexico State,New Mexico State Aggies,New Mexico St,Aggies,New Mexico St,NMSU,30,Western Athletic Conference
167,New Mexico,New Mexico Lobos,New Mexico,Lobos,New Mexico,UNM,44,Mountain West Conference
171,Columbia,Columbia Lions,Columbia,Lions,Columbia,COLU,12,Ivy League
172,Cornell,Cornell Big Red,Cornell,Big Red,Cornell,COR,12,Ivy League
179,St. Bonaventure,St. Bonaventure Bonnies,St Bonaventure,Bonnies,St Bonaventure,SBU,3,Atlantic 10 Conference
183,Syracuse,Syracuse Orange,Syracuse,Orange,Syracuse,SYR,2,Atlantic Coast Conference
189,Bowling Green,Bowling Green Falcons,Bowling Green,Falcons,Bowling Green,BGSU,14,Mid-American Conference
193,Miami (OH),Miami (OH) RedHawks,Miami OH,RedHawks,Miami OH,M-OH,14,Mid-American Conference
194,Ohio State,Ohio State Buckeyes,Ohio State,Buckeyes,Ohio State,OSU,7,Big Ten Conference
195,Ohio,Ohio Bobcats,Ohio,Bobcats,Ohio,OHIO,14,Mid-American Conference
197,Oklahoma State,Oklahoma State Cowboys,Oklahoma St,Cowboys,Oklahoma St,OKST,8,Big 12 Conference
198,Oral Roberts,Oral Roberts Golden Eagles,Oral Roberts,Golden Eagles,Oral Roberts,ORU,49,Summit League
2,Auburn,Auburn Tigers,Auburn,Tigers,Auburn,AUB,23,Southeastern Conference
2000,Abilene Christian,Abilene Christian Wildcats,Abilene Chrstn,Wildcats,Abilene Chrstn,ACU,30,Western Athletic Conference
2005,Air Force,Air Force Falcons,Air Force,Falcons,Air Force,AF,44,Mountain West Conference
2006,Akron,Akron Zips,Akron,Zips,Akron,AKR,14,Mid-American Conference
201,Oklahoma,Oklahoma Sooners,Oklahoma,Sooners,Oklahoma,OU,8,Big 12 Conference
2010,Alabama A&M,Alabama A&M Bulldogs,Alabama A&M,Bulldogs,Alabama A&M,AAMU,26,Southwestern Athletic Conference
2011,Alabama State,Alabama State Hornets,Alabama St,Hornets,Alabama St,ALST,26,Southwestern Athletic Conference
2016,Alcorn State,Alcorn State Braves,Alcorn St,Braves,Alcorn St,ALCN,26,Southwestern Athletic Conference
202,Tulsa,Tulsa Golden Hurricane,Tulsa,Golden Hurricane,Tulsa,TLSA,62,American Athletic Conference
2026,App State,App State Mountaineers,App State,Mountaineers,App State,APP,27,Sun Belt Conference
